First Name,Last Name,Salary,Position,Team,Opponent,Line,Projection
Niko Goodrum,15821,3600,OF,DET,TEX,2,1
Nomar Mazara,16207,4200,3B,TEX,DET,7,1
Omar Narvaez,35258,2700,1B,CHW,HOU,7,4.02
Ozzie Albies,37435,5500,1B/OF,ATL,MIL,1,15
Pablo Sandoval,10445,3200,OF,SFG,STL,2,5.81
Paul Goldschmidt,11431,5200,C/1B,ARI,SDP,1,15
Pedro Severino,22667,2600,OF,WAS,MIA,1,4.9
Ronald Acuna,262363,4900,SS,ATL,MIL,4,7.36
Ronald Guzman,17798,3300,OF,TEX,DET,2,5.54
Ronny Rodriguez,354527,2700,OF,DET,TEX,4,1
Rougned Odor,15483,4000,SS,TEX,DET,8,7.64
Ryan Braun,10542,4400,OF,MIL,ATL,8,8.94
Ryon Healy,35313,3600,2B,SEA,LAA,9,7.63
Steven Souza,18018,3300,2B,ARI,SDP,3,8.5
Tim Anderson,35086,4000,OF,CHW,HOU,4,5.3
Tim Beckham,14725,3200,SS,BAL,MIN,3,7.35
Tommy Pham,16460,4200,OF,STL,SFG,4,7.91
Travis Jankowski,16106,3900,C,SDP,ARI,8,1
Trea Turner,21824,4600,2B,WAS,MIA,5,9.28
Trey Mancini,17649,3500,OF,BAL,MIN,6,6.56
Tyler Flowers,11384,3500,OF,ATL,MIL,5,6.97
Tyler Saladino,15169,3400,SS,MIL,ATL,5,5.74
Tyler White,34734,3500,C,HOU,CHW,4,1
Victor Martinez,10259,2900,OF/1B,DET,TEX,3,6.58
Victor Reyes,41726,3100,2B/3B,DET,TEX,7,1
Wil Myers,14944,4300,OF,SDP,ARI,7,7.37
Yadiel Rivera,15955,2700,SS,MIA,WAS,6,4.45
Yadier Molina,10270,4000,2B,STL,SFG,7,7.1
Yairo Munoz,36240,3300,OF,STL,SFG,1,5.75
Yoan Moncada,35706,3800,3B,CHW,HOU,1,1
Yolmer Sanchez,15508,3600,OF,CHW,HOU,3,5.53
Yulieski Gurriel,35357,4000,OF,HOU,CHW,3,7.56
